vedette	inversée	étymologie avec grec
lambdacisme	emsicadbmal	de λάμβία, nom de l’Z en grec
lambdoïde	edïodbmal	de λ (lambda), lettre grecque, et ει^ος, forme, ressemblance 
laparocèle	elècorapal	de λαπάρα, les lombes, et κήλη, hernie
laparotomie	eimotorapal	de λαπάρα, flanc, et τομή, section
larinoïde	edïoniral	de λαρινος, gras, et εΤ^ος, forme
laryngalgie	eiglagnyral	de larynx, et άλγος, douleur
laryngé	égnyral	de λάρυγξ, le larynx
laryngite	etignyral	de λάρυγξ, larynx
laryngographie	eihpargognyral	de λάρυγξ, larynx, et γραφή, description
laryngoscope	epocsognyral	de larynx, et σκοπειν, examiner ;
laryngotomie	eimotognyral	de larynx, et τομή, section;
lécithine	enihticél	de λέκιθος, jaune, d’œuf (Gobley)
léontiasis	sisaitnoél	de λέων, lion
lépicène	enècipél	de λεπίς, écaille, et κενός, vide
lépidoïde	edïodipél	de λεπ'ις, écaille, et ειίος, ressemblance
lépidophylle	ellyhpodipél	de λεπίς, écaille, et ψύλλον, feuile
lépidoptères	serètpodipél	de λεπίς, écaille, et πτεράν, aile
lépidosarcome	emocrasodipél	de λεπίς, écaille, et sarcome
lèpre	erpèl	de λεπρός, écailleux, de λέπος, écaille 
leptomère	erèmotpel	de λεπτός, menu, et μέρος, partie
leptophonie	einohpotpel	de λεπτός, ténu, et φωνή, voix
leptosperme	emrepsotpel	mince, et σπέρμα, graine
leptothrix	xirhtotpel	de λεπτός, menu, et θρίξ; cheveu
leptyntique	euqitnytpel	de λεπτύνει, atténuer
léthargie	eigrahtél	de λτίθη, oubh, et αργία, paresse, engourdissement
leucéthiopie	eipoihtécuel	de λευκός, blanc, et éthiopien;
leucine	enicuel	de λευκός, blanc 
leucocyte	etycocuel	de λευκός, blanc, et κύτος, cavité 
leucocythémie	eiméhtycocuel	de λευκός, blanc, κύτος, cavité, et αιμα, sang
leucocythémie	eiméhtycocuel	de λευκός, blanc, et αίμα, sang
leucolyte	etylocuel	de λευκός, blanc, et λυτός, dissous
leucoma	amocuel	de λευκοω, blanchir
leucopathie	eihtapocuel	de λευκός, blanc, et πάθος, affection
leucophlegmasie	eisamgelhpocuel	de λευκός, blanc, et φλέγμα, phlegme
leucophylle	ellyhpocuel	de λευκός, blanc, et φύλλαν, feuille
leucorrhée	eéhrrocuel	de λευκός, blanc, et ρεϊν, couler; flueurs blanches, catarrhe utérin;
leucose	esocuel	de λευκός, blanc
lientèrie	eirètneil	de λείος, poli, glissant, et εντερον, intestin
limné	énmil	de λίμνη, marais
limoctonie	einotcomil	de λιμός, faim, et κτείνειν, tuer
liocome	emocoil	de λείος, lisse, et κόμη, chevelure
liopode	edopoil	de λείος, uni, et ποϋς, pied
liotriques	seuqirtoil	de λείος, lisse, et θρΐξ, cheveu
liparocèle	elècorapil	de λιπαοος, gras, et y.fjr,, tumeur
liparoïde	edïorapil	deλιπαρός, gras, et εί^ος, ressemblance
liparosquirrhe	ehrriuqsorapil	de λιπαρός, gras; et squirrhe
lipoïde	edïopil	de λίπος, graisse, et εϊίος, ressemblance
lipome	emopil	de λίπος, graisse 
lipopsychie	eihcyspopil	de λ; iπειν, manquer, et ψυχή, âme, vie;
lipothymie	eimyhtopil	de λείπε«, manquer, et θυμός, âme, courage·
lipyle	elypil	de λίπος, graisse
lipyrie	eirypil	de λείπε«, manquer, et πϋρ, feu
lithagogue	eugogahtil	de λίθος, pierre, et άγειν, chasser
litharge	egrahtil	de λίθος, pierre, et άργυρος, argent
lithéxère	erèxéhtil	de λίθος, pierre, et έξαιρεΐν, extraire
lithiase	esaihtil	de λίθος, pierre
lithocénose	esonécohtil	de λίθος, pierre, et κενωσις, évacuation
lithoclaste	etsalcohtil	de λίθος, pierre, et κλάειν, écraser
lithoclastie	eitsalcohtil	de λίθος, pierre, et κλάειν, rompre, écraser
lithodialyse	esylaidohtil	de λίθος, pierre, et ίιάλυσις dissolution, destruction
lithodrassique	euqissardohtil	de λίθος, pierre, et ^ράσσειν, saisir
litholabe	ebalohtil	de λίθος, pierre, et λαμβάνειν, saisir
lithologie	eigolohtil	de λίθος, pierre, et λόγος, doctrine 
litholysie	eisylohtil	de λίθος pierre, et λύσις, dissolution
lithomalacie	eicalamohtil	de λίθος, pierre, et μαλακός, mou
lithomyleur	ruelymohtil	deλίθος, pierre, et μύλη, meule
lithomylie	eilymohtil	de λίθος, pierre, et μύλη, meule
lithontriptique	euqitpirtnohtil	de λίθος, pierre, et τρίψις, broiement 
lithopædion	noidæpohtil	de λίθος, pierre, et παιίίον, enfant
lithophytes	setyhpohtil	de λίθος, pierre, et φυτόν, plante
lithoprione	enoirpohtil	de λίθος, pierre, et τίρίων, scie
lithoprisie	eisirpohtil	de λίθο;, pierre, είπρίσις, sciage
lithorineur	ruenirohtil	deλίθος, pierre, et pwsw, limer
lithoscope	epocsohtil	de λίθος, pierre, et σκοπείν, examiner
lithothlibie	eibilhtohtil	de λίθος, pierre, et θλίβε«, écraser
lithotome	emotohtil	de λίθος, pierre, et τομή, section 
lithotomie	eimotohtil	de λίθος, pierre, et τομή, section
lithotrésie	eisértohtil	de λίθος, pierre, et τρϋσις, action de trouer
lithotripsie	eispirtohtil	de λίθος, pierre, et τρίψις, broiement
lithotritie	eitirtohtil	de λίθος, pierre, di terere, broyer;
lithyménie	einémyhtil	de λίθος, pierre, etûpà.v, membrane
lividité	étidivil	de lividus, livide; πελιότ^ς,
lochies	seihcol	de λοχος, femme en couches 
lochiorrhagie	eigahrroihcol	de. λοχεία, lochies, et ρηγνυμι, faire éruption
lochiorrhée	eéhrroihcol	de λοχεία, lochies, et ρεϊν, couler
lœmique	euqimœl	deλοιμος,peste
lœmographie	eihpargomœl	de λοιμός, peste, et γράφειν, décrire
lordose	esodrol	de λορδος, courbé
loxarthre	erhtraxol	de λιξος, oblique, et άρθρον, articulation
ludovicotrophie	eihportocivodul	de Ludovicus, Louis, et τροφΐ, nourriture
lycanthropie	eiporhtnacyl	de λύκος, loup, et άνθρωπος, homme
lycorexie	eixerocyl	de λύκες, loup, et ορεξις, désir, faim
lymphangite	etignahpmyl	de lympha, lymphe, et άγγΰον, vaisseau
lymphatocèle	elècotahpmyl	de lymphatique, et ζηλη, tumeur
lymphe	ehpmyl	de νύμφη, eau
lymphoïde	edïohpmyl	de lymphe, et είδος, forme
lymphorrhagie	eigahrrohpmyl	de lympha, lymphe, et όχγνυσβαι, faire éruption
lymphotomie	eimotohpmyl	de lympha, lymphe, et de τομή, section
lyngode	edognyl	de λυγγώδης, singultueux
lypémanie	einamépyl	de λύπη, tristesse, et marne
lysis	sisyl	de λύσις, solution
lysses	sessyl	de λύσσα, rage
macranthe	ehtnarcam	de μακρύς, grand, et άνθος, fleur
macrobie	eiborcam	de μακρύς, long, et βίος, vie
macrobiotique	euqitoiborcam	de μάκρος, long, et βίος, vie 
macrocéphale	elahpécorcam	de μάκρος, grand, et κεφαλή, tête
macrochirie	eirihcorcam	de μάκρος, grand, et χείρ, main 
macrocosme	emsocorcam	de μάκρος, grand, et κο'σμος, monde
macrocyte	etycorcam	de μακρύς, grand, et κύτος, cellule
macrodactylie	eilytcadorcam	de μάκρος, grand, et δάκτυλος, doigt
macrogastre	ertsagorcam	de μάκρος, grand, et γαστήρ, estomac
macroglosse	essolgorcam	de μακρύς, grand, et γλώσσα, langue
macrogonidie	eidinogorcam	de μάκρος, long, et gonidie
macromélie	eilémorcam	de μακρύς, grand, et με'λος, membre
macrophylle	ellyhporcam	de μακρύς, grand, et ψύλλον, feuille
macrophysocéphale	elahpécosyhporcam	de μακρύς, grand, φύσα, air, vent, et κεφαλή, tête
macropode	edoporcam	de μακρύς, grand, et ποΰς, pied
macroprosopie	eiposorporcam	de μακρύς, grand, et πρόσωπό», face
macroscopique	euqipocsorcam	de μακρύς, grand, et σκοπεΐν, considérer
macroskélie	eiléksorcam	de μακρύς, grand, et σκέλος, jambe
macrosomatie	eitamosorcam	de μακρύς, grand, et σώμα, corps
macrosperme	emrepsorcam	de μακρύς, grand, et σπε'ρμα, graine
macrospore	eropsorcam	de μάκρος, grand, et σπορά, semence
madarose	esoradam	de ρ.αύ'αρος, qui est sans poil
magdaleon	noeladgam	de μαγίαλιά, mie de pain 
magnétologie	eigoloténgam	de magnes, aimant, et λόγος, traité
malacie	eicalam	de μαλακία, mollesse
malacologie	eigolocalam	de μαλακάς, mou, et λόγος, traité
malacoptérygiens	sneigyrétpocalam	de μαλακός, mou, et πτέρυξ, aile
malacosarcose	esocrasocalam	de μαλακός, mou, et σαρξ, chair
malacostéose	esoétsocalam	de μαλακός, mou, et οστεο», os
malacozoaires	seriaozocalam	de μαλακός, mou, et ζώον, animal
malactique	euqitcalam	de μαλάσσει», ramollir
malagma	amgalam	de μαλάσσν.ν, amollir
malaxer	rexalam	de μαλάσσει», ramollir
mammalogie	eigolammam	de mamma, mamelle, d’où dérive mammalia, les mammifères, et de λόγος, discours, description
manicome	emocinam	de μανία, folie, βίκομεϊν, soigner
manigraphe	ehparginam	de μανία, manie, βίγοάφειν, décrire
manomètre	ertèmonam	de μανος, rare, non condensé, et de μέτρου, mesure
manoscope	epocsonam	de μα»ός, rare, non condensé, et σκοπεί», examiner
marasme	emsaram	de μαραίνει», dessécher, flétrir
margarine	eniragram	de μάργαρον, blanc de perle 
margaroïde	edïoragram	de margarine, et εΐίος, apparence
massage	egassam	de μάσσειν, pétrir 
masseter	retessam	de μασάομαι, je mâche 
mastite	etitsam	de μαστός, mamelle
mastodynie	einydotsam	de μαστός, mamelle, et douleur
mastoïde	edïotsam	de μαστός, mamelle, et είίος, forme
maurocapnos	sonpacoruam	de μαύρος, sombre, et καπνός, fumée
mazoïte	etïozam	mot mal formé de μαζός, mamelle
mécanique	euqinacém	de μηχανή, machine
mécomètre	ertèmocém	de μήκος, longueur, et μέτρον, mesure 
méconium	muinocém	de μηκώνιον, suc de pavot, de μήκων, pavot
médecin	nicedém	de ΐάομαι, je guéris 
mégalanthropogénésie	eisénégoporhtnalagém	de μέγας, grand, άνθρωπος, homme, et γένεσις, génération
mégalomanie	einamolagém	de μέγας, grand, et μανία, manie
mégalopsie	eispolagém	de μέγας, grand, et ό’ψις, vue
mégalosplanchnie	einhcnalpsolagém	de μέγας, grand, et σπλάγχνου, viscère
mégalosplénie	einélpsolagém	de μέγας, grand, et σπλήν, la rate
mélæna	anælém	de μέλας, noir: proprement maladie noire
mélænagogue	eugoganælém	de μέλας, noir, et άγω, je chasse
mélagre	ergalém	de μέλος, membre, et άγρα, douleur
mélaïne	enïalém	de μέλας,. noir
mélalgie	eiglalém	de μέλος, membre, et άλγος, douleur
mélampyre	erypmalém	de μέλας, noir, et πυράς, blé
mélancolie	eilocnalém	de μέλας, noir, et χολή, bile
mélanémie	eiménalém	de με'λας, μελανός, noir, et αίμα, sang
mélanidrose	esordinalém	de με'λας, noir, et ΐίρως, sueur
mélanien	neinalém	de με'λας, noir
mélanine	eninalém	de με'λας, noir
mélanisme	emsinalém	de με'λας, noir
mélanode	edonalém	de μέλας noir, et ειίος, espèce
mélanodermie	eimredonalém	de με'λας, noir, et derme
mélanome	emonalém	de μέλας, noir
mélanose	esonalém	de μελάνωσις, noircissement
mélanotrique	euqirtonalém	de με'λας noir, et θρίξ, cheveu
mélanourine	eniruonalém	de μέλας, noir, et cùpav, urine
mélanurèse	esèrunalém	de μέλας, noir, et οίίρησις, miction
mélasme	emsalém	de μέλας, noir
mélastéarrhée	eéhrraétsalém	de μέλας, noir, στέαρ, graisse, et ρεΐ», couler
mélicéris	sirécilém	de μελίκηρου, rayon de miel
mélimélem	melémilém	de μέλι, miel, et μήλου, pomme, coing
mélipone	enopilém	de μέλι, miel, et πουος, travail
mélitagreux	xuergatilém	Mot assez mal fait de μέλι, miel, et άγρα, prise, mal, dartre : dartre mielleuse
mélithémie	eiméhtilém	de μέλι, μέλιτος, miel, et αίμα, sang
mélithypérurie	eirurépyhtilém	de μέλι, μέλιτος, miel, υπέρ, indiquant excès, et cùpov, urine
mélitoptyalisme	emsilaytpotilém	de μέλι, μέλιτος, miel, et πτυαλισμος, crachement
mélitose	esotilém	de μέλι, miel; les chimistes le font masculin ; il est mieux de le faire féminin ; μελίτωσιςen grec, signifie l’action de rendre doux, et est du féminin, comme tous les mots de cet ordre
méliturie	eirutilém	de μέλι, miel, et ουρον, urine
mélodermie	eimredolém	de μέλας, noir, et ίέρμα, peau
mélomèle	elèmolém	de μέλος répété, membre
méloplastie	eitsalpolém	de μήλου, pommette, et πλάσσειυ, former
mélose	esolém	de μήλη, sonde
ménagogue	eugoganém	de μην, menstrues, et άγειν, pousser
ménidrose	esordiném	de μην, mois, menstrues, et ΐίρωσις, sueur 
méninge	egniném	de μήνιγξ, membrane
méningocèle	elècogniném	de μήυιγξ, méninge, et κήλη, tumeur
méningo-gastrique	euqirtsag-ogniném	de μήνιγξ, membrane, et γαστήρ, l’estomac
méningomalacie	eicalamogniném	de μήνιγξ, membrane, et μαλακός, mou
méningophylax	xalyhpogniném	de μήνιγξ, méninge, et φόλας, gardien
méningorrhagie	eigahrrogniném	de μήνιγξ, membrane, et ραγεΐν, faire éruption
méningose	esogniném	de μήνιγξ, membrane
méningurie	eirugniném	de μήνιγξ, membrane, et cùpcv, urine
ménisque	euqsiném	de μήνη, lune
ménobranche	ehcnarboném	de με'νειν, persister, et branchies
ménopause	esuaponém	de μην, mois, et παϋσις, cessation 
ménorrhagie	eigahrroném	de μήν, mois, et ραγεΐν, sortir avec violence 
ménorrhée	eéhrroném	de μην, mois, et de ρέϊν, couler
ménostasie	eisatsoném	de μην, mois, et στάσις, .stase, stagnation 
ménoxénie	einéxoném	de μήν, mois ou menstrues, et ξένος, étranger
mentagre	ergatnem	de mentum, menton, et άγρα, capture 
mentagrophyte	etyhporgatnem	de mentagre, et φυτό», végétal
mentulagre	ergalutnem	de mentula, pénis, et άγρα, proie, capture
mératrophie	eihportarém	de μηρός, cuisse, et atrophie
mercure	erucrem	formé de ύδωρ, eau, et άργυρος, argent; mot à mot, argent liquide (vif-argent);
mérenchyme	emyhcnerém	de μέρος, partie, et έγχυμα, substance épanchée
méricarpe	epracirém	de μέρος, partie, et καρπός, fruit
mérismatique	euqitamsirém	de μέρισμα, μερίσματος, division
mérithalle	ellahtirém	de μέρος, partie, et θαλλός, rameau
mérocèle	elècorém	de μηρός, cuisse, et κήλη, hernie : hernie crurale ;
mérologie	eigolorém	de μέρος, partie, et λόγος, traité
mérygologie	eigologyrém	de μηρυκάζω, je rumine, et λόγος, discours
mésaraïque	euqïarasém	de μεσάραιο», le mésentère, de μέσος, aumilieu, et αραιά, bas-ventre, de αραιός, mou, mince
mésentère	erètnesém	de μέσος, qui est au milieu, et έντερο», intestin 
mésentérie	eirétnesém	de μεσεντέριο», le mésentère
mésentérique	euqirétnesém	de μεσε»τέριον, le mésentère
mésentérite	etirétnesém	de μεσεντέριευ, le mésentère
mésocéphale	elahpécosém	de μέσος, milieu, et κεφαλή, tète 
mésochilium	muilihcosém	de μέσος, milieu, et χείλος, lèvre.
mésochondriaque	euqairdnohcosém	de μέσος, qui est au milieu ou entre, et -χονίρος, cartilage
mésocôlon	nolôcosém	de μέσος, qui est au milieu, et κώλον, l’intestin côlon
mésocrâne	enârcosém	de μέσος, milieu, et κρανίου, crâne, tête
mésoderme	emredosém	de μέσος, milieu, et ίέρμα, peau
mésoépididyme	emydidipéosém	de μέσος, milieu, et έπι^ι3υμίς, épididyme
mésogastre	ertsagosém	de μέσος, milieu, et γασ-ήρ, ventre
mésolobe	ebolosém	de μέσος, milieu, et λοβός, lobe
mésologie	eigolosém	de μέσος, milieu, et λόγος, doctrine
mésomérie	eirémosém	de μέσος, milieu, et μηρός, cuisse
mésomètre	ertèmosém	de μέσος, intermédiaire, et μήτρα, matrice
mésomphale	elahpmosém	de μέσος, milieu, et ομφαλος, nombril
mésophlœum	muœlhposém	de μέσος, milieu, et φλοιός, écorce
mésophryon	noyrhposém	de μέσος, milieu, et οφρυς, sourcil
mésophylle	ellyhposém	de μέσος, milieu, et φύλλο», feuille
mésophyte	etyhposém	deμέσος, milieu, et φυτό»,plante
mésorchion	noihcrosém	de μέσος, mitoyen, et ορχις, testicule
mésorectum	mutcerosém	de μέσος, qui est au milieu, et rectum, intestin rectum;
mésoroptre	ertporosém	de μέσορος, qui marque deux limites, et οπτομαι, voir
mésosperme	emrepsosém	de μέσος, milieu, et σπέρμα, graine
mésothénar	ranéhtosém	de μέσος, le milieu, et 6έ»αρ, le thénar, la paume de la main 
mésothorax	xarohtosém	de μέσος, au milieu, et thorax
métabolélogie	eigolélobatém	de μεταβολή, changement, et λόγος, discours
métabolique	euqilobatém	de μεταβολή, changement
métacabpe	epbacatém	de μετά, après, et καρπός, le carpe ou le poignet
métachorèse	esèrohcatém	de μεταχωρείν, passer d’un endroit à un autre 
métachromatisme	emsitamorhcatém	de μετά, qui indique changement, et χρώμα, coloration
métacondyles	selydnocatém	de μετά, après, et κόνδυλος, condyle
métafacial	laicafatém	mot hybride, de μετά, après, et face
métagenèse	esènegatém	de μετά, alternativement, et φιεσις, naissance;
métalepsie	eispelatém	de μετά, indiquant changement, et λήψις, prise
metallographie	eihpargollatem	de μέταλλο», métal, et γραφή, description
métalloïde	edïollatém	de μέταλλο», métal, et είδος, forme
métallurgie	eigrullatém	de μέταλλο», métal, et έργο», travail
métamère	erèmatém	de.μετά, préposition qui indique un changement, et μέρος, partie;
métamorphopsie	eispohpromatém	de μεταμορφωσις, métamorphose, et δψις, vue
métamorphose	esohpromatém	de μετά, préposition qui indique un changement, et μορφή, forme
métapédium	muidépatém	de μετά, après, είπέ^ιον, pied
métaphlogose	esogolhpatém	de μετά, au delà, et φλόγωσις, inflammation
métaphragme	emgarhpatém	de μετά, après, et φράγμα, séparation
métaplastique	euqitsalpatém	de μετά, indiquant changement, et πλάσσει», former
métaporopoèse	esèoporopatém	de μετά, qui exprime un changement, πόρος, pore, et ποιεί», faire
métaptose	esotpatém	de μεταπίπτω je retombe, je dégénère;
métaschématisme	emsitaméhcsatém	de μετά, indiquant chanchement, et σχήμα, disposition, plan
métastase	esatsatém	de μεθίστημι, je change de place, je transporte
métasyncrise	esircnysatém	de μετά, qui marque le changement, et de συγκρίνω, j’amasse ou je mêle ensemble : recomposition 
métatarse	esratatém	de μ.ετά, après, et ταρσός, le tarse
métathèse	esèhtatém	de μετατίθημι, je change de place
métathorax	xarohtatém	de μετά, après, et thorax
métazoïque	euqïozatém	de μετά, après, et ζωον, animal
météore	eroétém	les choses de l’atmosphère, de μετά, par, et αίρω, j’élève
météorisme	emsiroétém	de μετέωρος, élevé
météorologie	eigoloroétém	de μετέωρον, météore, et λόγος, discours
méthémérine	eniréméhtém	de μετά, pendant, et άμέρα, jour
méthionique	euqinoihtém	de θειον, soufre
méthode	edohtém	de μετά, par, et ό^ός, chemin : mot à mot, par le chemin 
méthomanie	einamohtém	de μέθυ, vin, et manie
méthylène	enèlyhtém	de μέβυ, vin, et όλη, matière
métopage	egapotém	de με'τωπον, le front, et παγείς, réuni
métoposcopie	eipocsopotém	de με'τωπον, le front, et σκοπεΐν, regarder
métralgie	eiglartém	de μήτρα, matrice, et άλγος, douleur
métratome	emotartém	de μήτρα, matrice, et τομή, section
métremphraxis	sixarhpmertém	de μήτρα, matrice, et έμφράσσω, j’obstrue
métrenchyte	etyhcnertém	de μήτρα, matrice, εν, dans, βίχύω, je verse
métrhémorrhoïdes	sedïohrroméhrtém	de μήτρα, matrice, et αιμορροΐδες, hémorrhoïdes
métriopathie	eihtapoirtém	de μέτριος, modéré, et πάθος, passion, affection
métrite	etirtém	de μήτρα, matrice
métrocampsie	eispmacortém	de μήτρα, matrice, et κάμψις, flexion
mètrocèle	elècortèm	de μήτρα, matrice, et κήλη, hernie
métrocélide	edilécortém	de μήτρα, matrice, et κηλις, tache
métrodynie	einydortém	de μήτρα, matrice, et οδύνη, douleur
métroloxie	eixolortém	de μήτρα, matrice, et λοξός, oblique
métrolymphangite	etignahpmylortém	de μήτρα, matrice, lymphatique, et άγγεϊον, vaisseau
métromanie	einamortém	de μήτρα, matrice, et μανία, folie, fureur
métronome	emonortém	de μετράν, mesure musicale, et νόμος, règle
métropathie	eihtaportém	de μήτρα, matrice, et πάθος, maladie
métrophore	erohportém	de μήτρα, matrice, et φε'ρειν, porter
métropolype	epyloportém	de μήτρα, matrice, et polype;
métroptose	esotportém	de μήτρα, matrice, et πτώσις, chute
metrorrhagie	eigahrrortem	de μήτρα, matrice, et ρήγνυμι, je sors avec violence
métrorrhée	eéhrrortém	de μήτρα, matrice, et ρεΐν, couler
métrorrhexie	eixehrrortém	de μήτρα, matrice, et ρήξις, déchirure
métroscope	epocsortém	de μήτρα, matrice, et σκοπειν, examiner
métrotomie	eimotortém	de μήτρα, matrice, et τομή, section 
miasme	emsaim	de μιαίνει», souiller
micracoustique	euqitsuocarcim	de μικρός, petit, et άκούειν, entendre
microbase	esaborcim	de μικρός, petit, et βάσις, base
microcéphalie	eilahpécorcim	de μικρός, petit, et κεφαλή, tête
microchimie	eimihcorcim	de μικρός, petit, et chimie ; analyse microchimique
microcosme	emsocorcim	de μικρός, petit, et κόσμος, monde
microcythémie	eiméhtycorcim	de μικρός, petit, κύτος, cellule, et αίμα, sang
microglossie	eissolgorcim	de μικρός, petit, et γλώσσα, langue
micrographie	eihpargorcim	de μικρός, petit, et γράφειν, décrire
micromètre	ertèmorcim	de μικρός, petit, et μετρειν, mesurer 
microphone	enohporcim	de μικρός, petit, et φωνή, voix
microphonie	einohporcim	de μικρός, petit, et φωνή, voix
microphyte	etyhporcim	de μικρός, petit, et φυτόν, végétal
micropsie	eisporcim	dé μικρός, petit, et οψις, vue
micropyle	elyporcim	de μικρός, petit, et πύλη, porte, ouverture
microrchidés	sédihcrorcim	de μικρός, petit, et όρχις, testicule
microscope	epocsorcim	de μικρός, petit,, et σκοπειν, considérer
microsomatie	eitamosorcim	de μικρός, petit, et σώμα, corps
microspore	eropsorcim	de μικρός, petit, et σπορά, semence
microsporon	noropsorcim	de μικρός, petit, et σπο'ρος, semence
microzoaire	eriaozorcim	de μικρός, petit, et ζώου, animal
microzoonite	etinoozorcim	de μικρός, petit, et ζώου, animal
microzyma	amyzorcim	de μικρός, petit, et ζύμη, ferment
migraine	eniargim	de ήμισυς, moitié, et de κρανίου, le crâne
mimique	euqimim	de μίμος, mime
minyanthe	ehtnaynim	de μινύανθες, dans Théophraste et dans Dioscoride, de μιυύς, petit, et άνθος, fleur : dit ainsi à cause de la petitesse de la fleur. Il y avait, par erreur, dans les anciennes éditions de Nicandre, erreur corrigée depuis, μηνύανθες : c’est là que Linné a pris son ményanthe.
misanthropie	eiporhtnasim	de μίσος, haine, et άνθρωπος, homme
misocapnie	einpacosim	de μισεί», haïr, et καπνός, fumée
misogynie	einygosim	de μισεί», haïr, et γυνή, femme 
mnémotechnie	einhcetoménm	de μνήμη, mémoire, et τέχνη, art
mochlique	euqilhcom	qui tient du levier de μοχλός, levier
mochlique2	euqilhcom	de μοχλός, levier, à cause qu’il est question de l’emploi du levier
mogigraphie	eihpargigom	de μο'γις, avec peine, et γράφει», écrire
mogilalisme	emsilaligom	de μο'γις, avec peine, et λαλεΐν, parler
molybdène	enèdbylom	de μόλυβδος, plomb
monade	edanom	de μονάς, unité
monadelphe	ehpledanom	de μόνος, seul, et άδελφος frère
monandre	erdnanom	de μόνος, seul, et άνήρ, homme
monanthère	erèhtnanom	de μόνος, seul, et anthère
monobase	esabonom	de μόνος, seul, et βάαις, base
monoblepsie	eispelbonom	de μόνες, seul, et βλε'πειν, voir
monocabpe	epbaconom	de μόνες, seul, et καρπός, fruit
monocéphale	elahpéconom	de μόνες, seul, et κεφαλή, tête
monochlamydé	édymalhconom	de μόνες, seul, et χλαμυς, casaque
monochromatique	euqitamorhconom	de μόνος, unique, et χρώμα, couleur
monocle	elconom	de μόνες, seul, et oculus, œil;
monocline	enilconom	de μονές, seul, et κλίνη, lit
monocorde	edroconom	de μόνες, seul, et corde
monocotylédone	enodélytoconom	de μόνος, seul, et κοτυληδων, cotylédon
monoculaire	erialuconom	de μόνος, unique, et oculus, œil
monodactyle	elytcadonom	de μόνος, seul, et δάκτυλος, doigt
monodelphe	ehpledonom	de μόνος, seul, et δελφυς, matrice
monœcie	eicœnom	de μόνος, seul, et οικία, maison
mono-épigyne	enygipé-onom	de μόνος, seul, επί, sur, et γυνή, femme
monogame	emagonom	de μόνος, seul, et γάμος, noce
monogastrique	euqirtsagonom	de μόνος, seul, et γαστήρ, estomac
monogéné	énégonom	de μόνος, seul, et γένος, genre
monogenèse	esènegonom	de μόνος, unique, οίγένεσις, génération
monogénie	einégonom	de μόνος, seul, et γένος, naissance
monogéniste	etsinégonom	de μόνος, unique, et γένος, race
monographie	eihpargonom	de μόνος, seul, et γραφή, description
monogyne	enygonom	de μόνος, seul, et γυνή, femme
mono-hypogyne	enygopyh-onom	de μένος, seul, υπό, sous, et γυνή, femme
monoïque	euqïonom	de μόνος, seul, et οικία, habitation
monomanie	einamonom	de μόνος, seul, et μανία, manie, folie
monomphalien	neilahpmonom	de μόνος, seul, et όμφαλος, nombril
monomyaire	eriaymonom	de μόνος, seul, et μϋς, μυός, animal à coquille
monopède	edèponom	de μόνος, seul, et pes, pied
monopégie	eigéponom	de. μόνος, seul, et πηγνύω, je fixe
monopérianthé	éhtnairéponom	de μόνος, seul, περί, autour, et άνβος, fleur
monopérigyne	enygiréponom	de μόνος, seul, περί, autour, et γυνή, femme
monopétale	elatéponom	de μόνος, seul, πέταλον, pétale
monophthalme	emlahthponom	de μόνος, seul, et οφθαλμός, œil
monophylle	ellyhponom	de μόνος, seul, et φύλλον, feuille
monophyte	etyhponom	de μόνος, seul, et φυτόν, végétal
monopodie	eidoponom	de μόνος, seul, et ποϋς, pied
monopse	esponom	de μόνος, seul, et ώψ, œil
monorchide	edihcronom	de μόνος, seul, et ορχις, testicule
monositie	eitisonom	de μονοσιτε'ω, je ne fais qu’un seul repas
monosomien	neimosonom	de μόνος, seul, et σώμα, corps
monosperme	emrepsonom	de μόνος, seul, et σπέρμα, graine
monostigmaté	étamgitsonom	de μόνος, seul, et stigmate
monostome	emotsonom	de μόνος, seul, et στόμα, bouche
monostyle	elytsonom	de μόνος, seul, et style
monothionique	euqinoihtonom	de μόνος, seul, et θειον, soufre
monotrème	emèrtonom	de μόνος, seul, et τρήμα, pertuis
monotype	epytonom	de μόνος, seul, et τύπος, type
monovarien	neiravonom	de μόνος, seule, et ovaire
monozoïque	euqïozonom	de μόνος, seul, et ζωον, animal
mordicant	tnacidrom	de mordicare, picoter; δακτικος
morioplastie	eitsalpoirom	de μόριον, partie, et πλάσσειν, former
morphogénie	einégohprom	de μορφή, forme, et γεννάν, produire
morphographie	eihpargohprom	de μορφή, forme, et γράφειν, décrire
morphologie	eigolohprom	de μορφή, forme, structure, et λόγος, discours, description
morphoplastique	euqitsalpohprom	de μορφή, forme, et πλάσσειν, former
mucocèle	elècocum	de mucus, et κήλη, tumeur
multicéphale	elahpécitlum	mot hybride et mauvais, fait de multus, plusieurs, et κεφαλή, tête
myce	ecym	de αύκτ,ς, champignon
mycélium	muilécym	de ρ.ύκης, champignon
mycétologie	eigolotécym	de μύχτ,ζ, μάχητος, champignon, et λογος, traité
mycétozoaibe	ebiaozotécym	de μύκχς, ρ,ύκτ,τος, champignon, et ξώον, animal
mycoderme	emredocym	de μύχης, champignon, et δέριχα, peau
mycoglycose	esocylgocym	de αύκης, champignon, et glycose
mycologie	eigolocym	de μύκχς, champignon, et λόγος, traité
mycomybingite	etignibymocym	de ρ.ύκνις, champignon, et myringitis
mycose	esocym	de υ.ύκζς, champignon
mycosis	sisocym	de ρώκχς, champignon
